postal.code,district,city,total.pop,females,males,pop.0-2,pop.3-6,pop.7-12,pop.13-15,pop.16-17,pop.18-19,pop.20-24,pop.25-29,pop.30-34,pop.35-39,pop.40-44,pop.45-49,pop.50-54,pop.55-59,pop.60-64,pop.65-69,pop.70-74,pop.75-79,pop.80-84,pop.85.plus,median.income
00720,Pukinmäki-Savela,Helsinki ,8520,4597,3923,286,355,431,191,147,168,632,744,751,581,448,433,531,555,590,540,418,330,203,186,21441
00730,Tapanila,Helsinki ,11301,5908,5393,384,554,851,414,279,255,539,630,812,874,784,761,935,923,745,620,423,279,117,122,24994
00740,Siltamäki,Helsinki ,10219,5266,4953,323,524,702,372,241,260,685,665,678,676,601,658,767,638,634,661,498,293,209,134,22473
00750,Puistola,Helsinki ,9559,4942,4617,390,468,667,292,199,217,662,756,764,703,599,656,678,593,585,515,352,213,122,128,22184
00760,Suurmetsä,Helsinki ,7685,3949,3736,240,389,650,330,223,210,368,318,397,549,495,569,635,592,513,423,364,210,132,78,26252
00770,Jakomäki - Alppikylä,Helsinki ,6782,3490,3292,308,354,392,207,149,175,555,583,515,419,354,438,477,432,314,341,274,230,138,127,19391
00780,Tapaninvainio,Helsinki ,7127,3674,3453,232,320,419,203,144,158,331,384,464,427,391,424,544,581,566,529,353,278,187,192,24918
00790,Viikki,Helsinki ,10874,5814,5060,504,656,944,365,207,205,1102,1187,1109,933,806,631,600,440,321,289,254,141,95,85,22364
00800,Länsi-Herttoniemi,Helsinki ,7055,3793,3262,213,285,366,159,104,109,369,624,597,608,473,458,512,480,447,354,304,211,151,231,21171
00810,Herttoniemi,Helsinki ,11525,6100,5425,437,528,666,319,202,223,737,1182,1066,952,791,807,814,711,656,540,408,253,131,102,23560
00820,Roihuvuori,Helsinki ,7177,3841,3336,221,313,380,144,105,136,471,541,609,625,448,474,533,505,418,358,274,212,199,211,20136
00830,Tammisalo,Helsinki ,2241,1165,1076,60,111,187,91,56,45,90,55,76,136,157,166,202,156,116,138,158,87,76,78,30632
00840,Laajasalo,Helsinki ,8191,4457,3734,228,384,489,216,158,165,366,386,478,570,499,516,574,528,509,690,576,397,231,231,24911
00850,Jollas,Helsinki ,3138,1582,1556,92,188,315,155,86,89,128,93,138,167,253,285,298,248,166,201,122,60,33,21,29488
